LoanID,Gender,Married,Education,Self_Employed,LoanAmount,Credit_History,Loan_Status,ApplicantIncome,CoapplicantIncome,Property_Area,Dependents,Loan_Term_Months
LN1001,Female,No,,Yes,185,1,Y,,1885,Semiurban,3+,240
LN1002,Male,No,,Yes,631,1,N,5823,3184,Rural,0,
LN1003,Male,Yes,,No,240,1,Y,3718,,Urban,1,120
LN1004,Female,Yes,,No,379,1,Y,5867,68,Rural,0,180
LN1005,Female,No,Graduate,No,192,0,N,,1879,Semiurban,3+,360
LN1006,Female,Yes,Not Graduate,No,,1,N,,453,Semiurban,0,120
LN1008,Female,No,Not Graduate,Yes,500,0,Y,,4787,Rural,3+,180
LN1009,Female,Yes,Graduate,No,201,0,N,,3831,Urban,0,360
LN1010,Male,Yes,Graduate,Yes,599,0,Y,,1343,Urban,1,120
LN1013,Male,Yes,Not Graduate,Yes,,0,N,,995,Urban,3+,
LN1014,Male,No,Graduate,Yes,,1,Y,4639,148,Rural,2,
LN1016,,Yes,,No,,0,N,6091,1245,Urban,3+,
LN1017,,Yes,,Yes,,0,N,1822,4715,Rural,0,
LN1019,,No,,Yes,,0,Y,2803,1247,,2,
LN1020,,Yes,,No,,0,N,8557,2709,,3+,
LN1021,Male,Yes,,No,,0,Y,1929,,,2,
LN1022,Male,Yes,Not Graduate,No,,1,Y,2216,,,2,
LN1023,Male,Yes,Graduate,No,438,1,Y,6826,,,2,180
LN1024,Male,No,Graduate,No,525,1,Y,3061,,,0,180
LN1025,Female,No,Not Graduate,Yes,207,1,N,9227,3554,Semiurban,3+,240
LN1026,Female,No,Graduate,Yes,578,0,N,8392,3584,Rural,0,180
LN1028,Female,Yes,Graduate,No,201,0,N,6471,905,Urban,1,240
LN1029,Male,Yes,Graduate,No,409,0,N,3789,4122,Urban,3+,240
LN1030,Female,No,Graduate,No,514,1,Y,1990,1521,Urban,1,180
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
