LoanID,Gender,Married,Education,Self_Employed,LoanAmount,Credit_History,Loan_Status,ApplicantIncome,CoapplicantIncome,Property_Area,Dependents,Loan_Term_Months
LN1000,Male,No,Graduate,Yes,592,0,Y,,,Urban,0,
LN1001,Female,No,Graduate,Yes,185,1,Y,2850,1885,Semiurban,3+,240
LN1002,Male,No,Graduate,Yes,631,1,N,5823,3184,Rural,0,180
LN1003,Male,Yes,Not Graduate,No,240,1,Y,3718,387,Urban,1,120
LN1004,Female,Yes,Graduate,No,379,1,Y,5867,68,Rural,0,180
LN1005,Female,No,Graduate,No,192,0,N,9364,1879,Semiurban,3+,360
LN1006,Female,Yes,Not Graduate,No,455,1,N,9389,453,Semiurban,0,120
LN1007,Male,Yes,Not Graduate,No,168,1,Y,5564,1959,Semiurban,0,
LN1008,Female,No,Not Graduate,Yes,500,0,Y,6602,4787,Rural,3+,180
LN1009,Female,Yes,Graduate,No,201,0,N,7653,3831,Urban,0,360
LN1010,Male,Yes,Graduate,Yes,599,0,Y,3129,1343,Urban,1,120
LN1011,Male,No,Graduate,Yes,540,1,N,,4591,Urban,1,
LN1012,Male,No,Not Graduate,No,,1,Y,6545,1559,Urban,0,360
LN1013,Male,Yes,Not Graduate,Yes,381,0,N,2063,995,Urban,3+,360
LN1014,Male,No,Graduate,Yes,692,1,Y,4639,148,Rural,2,180
LN1015,Male,No,Not Graduate,No,691,1,N,9494,1379,Urban,0,
LN1016,Male,Yes,Not Graduate,No,529,0,N,6091,1245,Urban,3+,180
LN1017,Male,Yes,Graduate,Yes,137,0,N,1822,4715,Rural,0,180
LN1018,Female,No,Not Graduate,No,357,0,Y,6040,3414,Urban,2,
LN1019,Male,No,Not Graduate,Yes,436,0,Y,2803,1247,Rural,2,180
LN1020,Male,Yes,Graduate,No,641,0,N,8557,2709,Urban,3+,240
LN1021,Male,Yes,Graduate,No,229,0,Y,1929,4649,Urban,2,240
LN1022,Male,Yes,Not Graduate,No,476,1,Y,2216,2605,Rural,2,240
LN1023,Male,Yes,Graduate,No,438,1,Y,6826,3486,Urban,2,180
LN1024,Male,No,Graduate,No,525,1,Y,3061,3833,Semiurban,0,180
LN1025,Female,No,Not Graduate,Yes,207,1,N,9227,3554,Semiurban,3+,240
